Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
Growing a Farmer: How I Learned to Live Off the Land,Kurt Timmermeister,3.68,W. W. Norton  Company,335,2011,5/15/18,to-read
Hiking Washington's Fire Lookouts,Amber Casali,4.33,Mountaineers Books,208,2018,5/15/18,to-read
Zero Waste Home: The Ultimate Guide to Simplifying Your Life by Reducing Your Waste,Bea Johnson,3.82,Scribner,304,2013,5/14/18,to-read
"Mémoires de la Grande Guerre, Tome 2 - 1915-1918",Winston S. Churchill,4.44,TALLANDIER,672,2014,2/24/16,to-read
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,Anchor Books,397,2006,4/30/18,to-read
Keeper of the Mountains: The Elizabeth Hawley Story,Bernadette McDonald,3.51,RMB | Rocky Mountain Books,256,2012,4/29/18,to-read
Reinhold Messner: My Life at the Limit,Reinhold Messner,3.8,Mountaineers Books,251,2014,4/29/18,to-read
"Himalayan Quest: Ed Viesturs on the 8,000-Meter Giants",Ed Viesturs,4.08,National Geographic,176,2003,4/29/18,to-read
"All Fourteen 8,000ers",Reinhold Messner,4.12,Mountaineers Books,248,1999,4/29/18,to-read
The Climb: Tragic Ambitions on Everest,Anatoli Boukreev,3.93,St. Martin's Paperbacks,297,1998,4/29/18,to-read
Junji Ito's Cat Diary: Yon & Mu,Junji Ito,4.13,Kodansha Comics,120,2015,4/13/18,read
How to Write a Book Proposal: The Insider's Step-by-Step Guide to Proposals that Get You Published,Jody Rein,4.3,Writer's Digest Books,338,2017,2/18/18,read
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,3.96,Random House Canada,409,2018,4/7/18,to-read
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,4.11,Routledge,564,1999,4/7/18,to-read
Buried in the Sky: The Extraordinary Story of the Sherpa Climbers on K2's Deadliest Day,Peter Zuckerman,4.16,W. W. Norton  Company,286,2012,4/6/18,to-read
The Bond,Simon McCartney,4.61,Mountaineers Books,,2016,4/6/18,to-read
The Rape of Nanking,Iris Chang,4.12,Penguin Books,290,1998,3/16/18,to-read
Lion,Saroo Brierley,4.12,Penguin Random House India,288,,3/16/18,to-read
The Guest Cat,Takashi Hiraide,3.52,New Directions,140,2014,3/12/18,to-read
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.45,Metropolitan Books,282,2014,3/12/18,to-read
"Alice Waters and Chez Panisse: The Romantic, Impractical, Often Eccentric, Ultimately Brilliant Making of a Food Revolution",Thomas McNamee,3.86,"Penguin Press HC, The",400,2007,1/22/18,read
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.04,HarperCollins Publishers,370,2007,1/30/18,to-read
No Shortcuts to the Top: Climbing the World's 14 Highest Peaks,Ed Viesturs,4.08,Broadway Books,368,2006,1/30/18,to-read
Leaving Microsoft to Change the World: An Entrepreneur's Odyssey to Educate the World's Children,John Wood,4.08,HarperBusiness,272,2006,1/25/18,to-read
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.16,Anchor Books,368,1999,4/4/17,read
Honeymoon with My Brother,Franz Wisner,3.5,St. Martin's Press,274,2005,1/12/18,to-read
The Wright Brothers,David McCullough,4.14,Simon  Schuster,320,2015,1/10/18,to-read
Beatrix Potter: A Life in Nature,Linda Lear,4.03,St. Martin's Press,584,2007,1/10/18,read
Gratitude,Oliver Sacks,4.15,Knopf Canada,64,2015,9/8/17,read
My Life in France,Julia Child,4.17,Knopf Publishing Group,336,2006,9/8/17,read
"Mud, Sweat and Tears",Bear Grylls,4.15,Transworld Publishers Ltd,352,2011,2/24/16,read
"Rowing the Northwest Passage: Adventure, Fear, and Awe in a Rising Sea",Kevin Vallely,3.71,Greystone Books,224,2017,12/20/17,read
Patch Adams,Patch Adams,3.99,Bentang Pustaka,310,2008,6/15/17,to-read
The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,4.16,Sourcebooks,479,2017,12/5/17,to-read
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.1,W. W. Norton  Company,224,2017,12/5/17,to-read
The Miracles of Exodus: A Scientist's Discovery of the Extraordinary Natural Causes of the Biblical Stories,Colin J. Humphreys,3.9,HarperOne,368,2004,11/20/17,to-read
Apollo 8: The Thrilling Story of the First Mission to the Moon,Jeffrey Kluger,4.41,Henry Holt and Co.,320,2017,11/16/17,to-read
Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,4.41,Bantam,392,2005,11/16/17,to-read
"Do Androids Dream of Electric Sheep? (Blade Runner, #1)",Philip K. Dick,4.08,Del Rey / Ballantine Books,244,1996,10/16/17,to-read
The Elephant Whisperer,Lawrence Anthony,4.46,Sidgwick & Jackson Ltd,368,2009,7/13/17,to-read
