Reader,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Katrina,Sourdough School,Vanessa Kimbell,857833669,0,4.26,Kyle Cathie,320,2017,9/20/18,to-read,to-read (#77),to-read
Katrina,The Art of Fermentation: An in-Depth Exploration of Essential Concepts and Processes from Around the World,Sandor Ellix Katz,160358286X,0,4.42,Chelsea Green Publishing,528,2012,9/20/18,to-read,to-read (#76),to-read
Katrina,The Lost Valley,Hannes Taugwalder,3906337227,4,4.25,,,,9/6/18,,,read
Katrina,The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,375404031,0,4.32,Knopf,224,1998,8/15/18,to-read,to-read (#75),to-read
Katrina,"Call the Midwife Boxed Set: Call the Midwife, Shadows of the Workhouse, Farewell to the East End",Jennifer Worth,1780224842,0,4.42,Orion Publishing Group,800,2012,8/3/18,to-read,to-read (#74),to-read
Katrina,A Tree Grows in Brooklyn,Betty  Smith,61120073,0,4.26,HarperCollins Publishers,496,2006,8/3/18,to-read,to-read (#73),to-read
Katrina,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,60899220,0,4.07,Ecco/Harper Perennial,312,2007,8/3/18,to-read,to-read (#72),to-read
Katrina,Awakening East,Johanna Garton,989373290,4,4.26,Marcinson Press,372,2015,3/5/18,,,read
Katrina,Walking the Nile,Levison Wood,1471135667,0,4.11,Simon & Schuster UK,320,2015,7/22/18,to-read,to-read (#71),to-read
Katrina,The Oregon Trail: A New American Journey,Rinker Buck,1451659164,0,3.81,Simon  Schuster,451,2015,7/22/18,to-read,to-read (#70),to-read
Katrina,The Man Who Knew Infinity: A Life of the Genius Ramanujan,Robert Kanigel,349104522,0,4.16,Abacus,438,1992,7/12/18,to-read,to-read (#69),to-read
Katrina,So You Want to Talk About Race,Ijeoma Oluo,1580056776,0,4.52,Seal Press,248,2018,6/4/18,to-read,to-read (#68),to-read
Katrina,Hidden Figures,Margot Lee Shetterly,62363603,0,3.96,William Morrow Paperbacks,368,2016,6/4/18,to-read,to-read (#67),to-read
Katrina,Everything Under the Heavens: How the Past Helps Shape China’s Push for Global Power,Howard W. French,1911344331,0,3.98,Scribe UK,352,2017,6/4/18,to-read,to-read (#66),to-read
Katrina,"Mountain Madness: Scott Fischer, Mount Everest & a Life Lived on High",Robert Birkby,806528753,5,4,Citadel Press,342,2008,2/3/18,,,read
Katrina,Growing a Farmer: How I Learned to Live Off the Land,Kurt Timmermeister,393070859,0,3.68,W. W. Norton  Company,335,2011,5/15/18,to-read,to-read (#65),to-read
Katrina,Hiking Washington's Fire Lookouts,Amber Casali,1680510606,0,4.33,Mountaineers Books,208,2018,5/15/18,to-read,to-read (#64),to-read
Katrina,Zero Waste Home: The Ultimate Guide to Simplifying Your Life by Reducing Your Waste,Bea Johnson,1451697686,0,3.82,Scribner,304,2013,5/14/18,to-read,to-read (#63),to-read
Katrina,"Mémoires de la Grande Guerre, Tome 2 - 1915-1918",Winston S. Churchill,,0,4.44,TALLANDIER,672,2014,2/24/16,to-read,to-read (#5),to-read
Katrina,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,307279464,0,4.06,Anchor Books,397,2006,4/30/18,to-read,to-read (#62),to-read
Katrina,Keeper of the Mountains: The Elizabeth Hawley Story,Bernadette McDonald,1927330157,0,3.51,RMB | Rocky Mountain Books,256,2012,4/29/18,to-read,to-read (#61),to-read
Katrina,Reinhold Messner: My Life at the Limit,Reinhold Messner,1594858527,0,3.8,Mountaineers Books,251,2014,4/29/18,to-read,to-read (#60),to-read
Katrina,"Himalayan Quest: Ed Viesturs on the 8,000-Meter Giants",Ed Viesturs,792268849,0,4.08,National Geographic,176,2003,4/29/18,to-read,to-read (#59),to-read
Katrina,"All Fourteen 8,000ers",Reinhold Messner,089886660X,0,4.12,Mountaineers Books,248,1999,4/29/18,to-read,to-read (#58),to-read
Katrina,The Climb: Tragic Ambitions on Everest,Anatoli Boukreev,312965338,0,3.93,St. Martin's Paperbacks,297,1998,4/29/18,to-read,to-read (#57),to-read
Katrina,Junji Ito's Cat Diary: Yon & Mu,Junji Ito,1632361973,4,4.13,Kodansha Comics,120,2015,4/13/18,,,read
Katrina,How to Write a Book Proposal: The Insider's Step-by-Step Guide to Proposals that Get You Published,Jody Rein,,0,4.3,Writer's Digest Books,338,2017,2/18/18,,,read
